FREGUESIA,PARTIDO,VOTOS
10208,PPDPSD,412
10208,PPM,5
10208,PS,389
10208,PSN,3
10301,BE,3
10301,CDSPP,138
10301,MPT,1
10301,PCPPEV,9
10301,PCTPMRPP,1
10301,PH,1
10301,PPDPSD,341
10301,PPM,4
10301,PS,189
10301,PSN,1
10302,BE,8
10302,CDSPP,77
10302,MPT,0
10302,PCPPEV,8
10302,PCTPMRPP,5
10302,PH,2
10302,PPDPSD,224
10302,PPM,2
10302,PS,153
10302,PSN,1
10303,BE,61
10303,CDSPP,301
10303,MPT,6
10303,PCPPEV,143
10303,PCTPMRPP,16
10303,PH,5
10303,PPDPSD,985
10303,PPM,10
10303,PS,1138
10303,PSN,2
10304,BE,7
10304,CDSPP,82
10304,MPT,0
10304,PCPPEV,12
10304,PCTPMRPP,5
10304,PH,1
10304,PPDPSD,256
10304,PPM,2
10304,PS,287
10304,PSN,1
10305,BE,11
10305,CDSPP,191
10305,MPT,6
10305,PCPPEV,13
10305,PCTPMRPP,4
10305,PH,2
10305,PPDPSD,653
10305,PPM,3
10305,PS,315
10305,PSN,1
10306,BE,16
10306,CDSPP,88
10306,MPT,2
10306,PCPPEV,21
10306,PCTPMRPP,4
10306,PH,1
10306,PPDPSD,189
10306,PPM,4
10306,PS,286
10306,PSN,1
10307,BE,16
10307,CDSPP,169
10307,MPT,1
10307,PCPPEV,21
10307,PCTPMRPP,5
10307,PH,6
10307,PPDPSD,601
10307,PPM,2
10307,PS,450
10307,PSN,6
10308,BE,4
10308,CDSPP,32
10308,MPT,1
10308,PCPPEV,3
10308,PCTPMRPP,0
10308,PH,1
10308,PPDPSD,127
10308,PPM,1
10308,PS,115
10308,PSN,1
10309,BE,29
10309,CDSPP,448
10309,MPT,4
10309,PCPPEV,64
10309,PCTPMRPP,9
10309,PH,7
10309,PPDPSD,968
10309,PPM,9
10309,PS,790
10309,PSN,4
10310,BE,3
10310,CDSPP,166
10310,MPT,1
10310,PCPPEV,15
10310,PCTPMRPP,2
10310,PH,4
10310,PPDPSD,606
10310,PPM,5
10310,PS,473
10310,PSN,6
10311,BE,8
10311,CDSPP,95
10311,MPT,4
10311,PCPPEV,9
10311,PCTPMRPP,2
10311,PH,4
10311,PPDPSD,360
10311,PPM,3
10311,PS,316
10311,PSN,1
10312,BE,5
10312,CDSPP,69
10312,MPT,1
10312,PCPPEV,18
10312,PCTPMRPP,1
10312,PH,3
10312,PPDPSD,360
10312,PPM,3
10312,PS,415
10312,PSN,0
10313,BE,6
10313,CDSPP,240
10313,MPT,5
10313,PCPPEV,17
10313,PCTPMRPP,1
10313,PH,10
10313,PPDPSD,1165
10313,PPM,7
10313,PS,349
10313,PSN,0
10314,BE,4
10314,CDSPP,104
10314,MPT,1
10314,PCPPEV,7
10314,PCTPMRPP,1
10314,PH,2
10314,PPDPSD,429
10314,PPM,0
10314,PS,121
10314,PSN,3
10315,BE,12
10315,CDSPP,70
10315,MPT,3
10315,PCPPEV,11
10315,PCTPMRPP,1
10315,PH,2
10315,PPDPSD,285
10315,PPM,0
10315,PS,276
10315,PSN,0
10401,BE,2
10401,CDSPP,2
10401,MPT,0
10401,PCPPEV,1
10401,PCTPMRPP,0
10401,PH,0
10401,PPDPSD,24
10401,PPM,0
10401,PS,42
10401,PSN,0
10402,BE,2
10402,CDSPP,124
10402,MPT,2
10402,PCPPEV,16
10402,PCTPMRPP,5
10402,PH,8
10402,PPDPSD,452
10402,PPM,5
10402,PS,264
10402,PSN,11
10403,BE,22
10403,CDSPP,231
10403,MPT,5
10403,PCPPEV,26
10403,PCTPMRPP,2
10403,PH,8
10403,PPDPSD,609
10403,PPM,4
10403,PS,602
10403,PSN,1
10404,BE,19
10404,CDSPP,199
10404,MPT,1
10404,PCPPEV,26
10404,PCTPMRPP,2
10404,PH,5
10404,PPDPSD,440
10404,PPM,5
10404,PS,402
10404,PSN,5
10405,BE,0
10405,CDSPP,7
10405,MPT,0
10405,PCPPEV,2
10405,PCTPMRPP,0
10405,PH,0
10405,PPDPSD,51
10405,PPM,2
10405,PS,36
10405,PSN,1
10406,BE,2
10406,CDSPP,124
10406,MPT,1
10406,PCPPEV,9
10406,PCTPMRPP,1
10406,PH,2
10406,PPDPSD,163
10406,PPM,3
10406,PS,78
10406,PSN,1
10407,BE,3
10407,CDSPP,192
10407,MPT,1
10407,PCPPEV,9
10407,PCTPMRPP,2
10407,PH,3
10407,PPDPSD,223
10407,PPM,41
10407,PS,251
10407,PSN,2
10408,BE,0
10408,CDSPP,3
10408,MPT,1
10408,PCPPEV,2
10408,PCTPMRPP,2
10408,PH,0
10408,PPDPSD,57
10408,PPM,0
10408,PS,17
10408,PSN,1
10409,BE,4
10409,CDSPP,170
10409,MPT,4
10409,PCPPEV,16
10409,PCTPMRPP,2
10409,PH,1
10409,PPDPSD,605
10409,PPM,5
10409,PS,348
10409,PSN,3
10410,BE,0
10410,CDSPP,71
10410,MPT,0
10410,PCPPEV,6
10410,PCTPMRPP,0
10410,PH,0
10410,PPDPSD,157
10410,PPM,1
10410,PS,68
10410,PSN,1
10411,BE,5
10411,CDSPP,91
10411,MPT,2
10411,PCPPEV,17
10411,PCTPMRPP,3
10411,PH,4
10411,PPDPSD,384
10411,PPM,3
10411,PS,235
10411,PSN,2
10412,BE,0
10412,CDSPP,7
10412,MPT,0
10412,PCPPEV,1
10412,PCTPMRPP,1
10412,PH,0
10412,PPDPSD,62
10412,PPM,0
10412,PS,6
10412,PSN,1
10413,BE,4
10413,CDSPP,155
10413,MPT,0
10413,PCPPEV,5
10413,PCTPMRPP,0
10413,PH,3
10413,PPDPSD,351
10413,PPM,2
10413,PS,157
10413,PSN,2
10414,BE,5
10414,CDSPP,126
10414,MPT,1
10414,PCPPEV,9
10414,PCTPMRPP,3
10414,PH,1
10414,PPDPSD,289
10414,PPM,2
10414,PS,264
10414,PSN,1
10415,BE,6
10415,CDSPP,181
10415,MPT,0
10415,PCPPEV,21
10415,PCTPMRPP,5
10415,PH,4
10415,PPDPSD,412
10415,PPM,3
10415,PS,189
10415,PSN,1
10416,BE,15
10416,CDSPP,214
10416,MPT,1
10416,PCPPEV,17
10416,PCTPMRPP,3
10416,PH,3
10416,PPDPSD,633
10416,PPM,2
10416,PS,348
10416,PSN,5
10417,BE,1
10417,CDSPP,77
10417,MPT,0
10417,PCPPEV,7
10417,PCTPMRPP,2
10417,PH,4
10417,PPDPSD,244
10417,PPM,0
10417,PS,91
10417,PSN,1
10418,BE,1
10418,CDSPP,105
10418,MPT,1
10418,PCPPEV,5
10418,PCTPMRPP,0
10418,PH,3
10418,PPDPSD,364
10418,PPM,5
10418,PS,178
10418,PSN,2
10419,BE,3
10419,CDSPP,88
10419,MPT,0
10419,PCPPEV,11
10419,PCTPMRPP,2
10419,PH,1
10419,PPDPSD,341
10419,PPM,0
10419,PS,149
10419,PSN,2
10420,BE,0
10420,CDSPP,60
10420,MPT,0
10420,PCPPEV,1
10420,PCTPMRPP,0
10420,PH,0
10420,PPDPSD,172
10420,PPM,2
10420,PS,90
10420,PSN,0
10501,BE,80
10501,CDSPP,754
10501,MPT,14
10501,PCPPEV,84
10501,PCTPMRPP,8
10501,PH,14
10501,PPDPSD,1587
10501,PPM,15
10501,PS,1359
10501,PSN,10
10502,BE,52
10502,CDSPP,420
10502,MPT,6
10502,PCPPEV,141
10502,PCTPMRPP,25
10502,PH,12
10502,PPDPSD,1041
10502,PPM,12
10502,PS,1358
10502,PSN,6
10503,BE,1
10503,CDSPP,123
10503,MPT,0
10503,PCPPEV,5
10503,PCTPMRPP,0
10503,PH,3
10503,PPDPSD,140
10503,PPM,2
10503,PS,116
10503,PSN,1
