FREGUESIA,PARTIDO,VOTOS
30842,PH,1
30842,POUS,3
30842,PPDPSD,203
30842,PPM,1
30842,PS,291
30842,PSN,1
30843,BE,1
30843,CDSPP,60
30843,MPT,0
30843,PCPPEV,30
30843,PCTPMRPP,2
30843,PH,1
30843,POUS,1
30843,PPDPSD,189
30843,PPM,2
30843,PS,145
30843,PSN,5
30844,BE,18
30844,CDSPP,121
30844,MPT,1
30844,PCPPEV,61
30844,PCTPMRPP,6
30844,PH,1
30844,POUS,0
30844,PPDPSD,487
30844,PPM,1
30844,PS,489
30844,PSN,4
30845,BE,4
30845,CDSPP,29
30845,MPT,0
30845,PCPPEV,10
30845,PCTPMRPP,2
30845,PH,2
30845,POUS,0
30845,PPDPSD,117
30845,PPM,0
30845,PS,249
30845,PSN,4
30846,BE,9
30846,CDSPP,54
30846,MPT,1
30846,PCPPEV,69
30846,PCTPMRPP,16
30846,PH,2
30846,POUS,1
30846,PPDPSD,209
30846,PPM,2
30846,PS,469
30846,PSN,4
30847,BE,5
30847,CDSPP,55
30847,MPT,3
30847,PCPPEV,46
30847,PCTPMRPP,6
30847,PH,3
30847,POUS,1
30847,PPDPSD,255
30847,PPM,0
30847,PS,258
30847,PSN,3
30848,BE,0
30848,CDSPP,40
30848,MPT,0
30848,PCPPEV,16
30848,PCTPMRPP,5
30848,PH,0
30848,POUS,0
30848,PPDPSD,124
30848,PPM,3
30848,PS,205
30848,PSN,2
30849,BE,2
30849,CDSPP,107
30849,MPT,2
30849,PCPPEV,48
30849,PCTPMRPP,0
30849,PH,4
30849,POUS,1
30849,PPDPSD,371
30849,PPM,1
30849,PS,458
30849,PSN,8
30850,BE,10
30850,CDSPP,89
30850,MPT,0
30850,PCPPEV,242
30850,PCTPMRPP,21
30850,PH,4
30850,POUS,1
30850,PPDPSD,312
30850,PPM,7
30850,PS,658
30850,PSN,1
30851,BE,2
30851,CDSPP,42
30851,MPT,0
30851,PCPPEV,23
30851,PCTPMRPP,3
30851,PH,0
30851,POUS,1
30851,PPDPSD,188
30851,PPM,0
30851,PS,286
30851,PSN,3
30853,BE,2
30853,CDSPP,68
30853,MPT,0
30853,PCPPEV,15
30853,PCTPMRPP,4
30853,PH,2
30853,POUS,2
30853,PPDPSD,248
30853,PPM,2
30853,PS,228
30853,PSN,2
30854,BE,38
30854,CDSPP,184
30854,MPT,9
30854,PCPPEV,594
30854,PCTPMRPP,46
30854,PH,5
30854,POUS,2
30854,PPDPSD,739
30854,PPM,9
30854,PS,1294
30854,PSN,4
30855,BE,2
30855,CDSPP,31
30855,MPT,1
30855,PCPPEV,14
30855,PCTPMRPP,7
30855,PH,1
30855,POUS,1
30855,PPDPSD,257
30855,PPM,3
30855,PS,250
30855,PSN,3
30856,BE,13
30856,CDSPP,59
30856,MPT,4
30856,PCPPEV,52
30856,PCTPMRPP,8
30856,PH,0
30856,POUS,3
30856,PPDPSD,186
30856,PPM,5
30856,PS,536
30856,PSN,4
30857,BE,10
30857,CDSPP,44
30857,MPT,2
30857,PCPPEV,165
30857,PCTPMRPP,14
30857,PH,2
30857,POUS,2
30857,PPDPSD,214
30857,PPM,1
30857,PS,544
30857,PSN,0
30858,BE,11
30858,CDSPP,150
30858,MPT,4
30858,PCPPEV,46
30858,PCTPMRPP,12
30858,PH,1
30858,POUS,2
30858,PPDPSD,640
30858,PPM,6
30858,PS,730
30858,PSN,19
30860,BE,58
30860,CDSPP,300
30860,MPT,2
30860,PCPPEV,237
30860,PCTPMRPP,17
30860,PH,3
30860,POUS,3
30860,PPDPSD,833
30860,PPM,5
30860,PS,933
30860,PSN,4
30862,BE,5
30862,CDSPP,25
30862,MPT,3
30862,PCPPEV,10
30862,PCTPMRPP,5
30862,PH,4
30862,POUS,1
30862,PPDPSD,241
30862,PPM,2
30862,PS,226
30862,PSN,2
30863,BE,29
30863,CDSPP,197
30863,MPT,1
30863,PCPPEV,102
30863,PCTPMRPP,9
30863,PH,1
30863,POUS,3
30863,PPDPSD,578
30863,PPM,4
30863,PS,498
30863,PSN,3
30864,BE,3
30864,CDSPP,125
30864,MPT,1
30864,PCPPEV,52
30864,PCTPMRPP,17
30864,PH,4
30864,POUS,3
30864,PPDPSD,373
30864,PPM,5
30864,PS,472
30864,PSN,5
30865,BE,14
30865,CDSPP,123
30865,MPT,4
30865,PCPPEV,101
30865,PCTPMRPP,20
30865,PH,3
30865,POUS,1
30865,PPDPSD,573
30865,PPM,5
30865,PS,1112
30865,PSN,6
30866,BE,29
30866,CDSPP,113
30866,MPT,5
30866,PCPPEV,424
30866,PCTPMRPP,38
30866,PH,4
30866,POUS,4
30866,PPDPSD,383
30866,PPM,6
30866,PS,1278
30866,PSN,13
30867,BE,1
30867,CDSPP,83
30867,MPT,2
30867,PCPPEV,18
30867,PCTPMRPP,7
30867,PH,2
30867,POUS,2
30867,PPDPSD,233
30867,PPM,3
30867,PS,414
30867,PSN,3
30868,BE,7
30868,CDSPP,101
30868,MPT,4
30868,PCPPEV,114
30868,PCTPMRPP,12
30868,PH,1
30868,POUS,1
30868,PPDPSD,313
30868,PPM,6
30868,PS,618
30868,PSN,3
30869,BE,6
30869,CDSPP,85
30869,MPT,2
30869,PCPPEV,62
30869,PCTPMRPP,5
30869,PH,1
30869,POUS,1
30869,PPDPSD,341
30869,PPM,7
30869,PS,376
30869,PSN,8
30871,BE,63
30871,CDSPP,295
30871,MPT,8
30871,PCPPEV,174
30871,PCTPMRPP,22
30871,PH,8
30871,POUS,8
30871,PPDPSD,906
30871,PPM,13
30871,PS,1281
30871,PSN,11
30872,BE,7
30872,CDSPP,106
30872,MPT,0
30872,PCPPEV,52
30872,PCTPMRPP,7
30872,PH,0
30872,POUS,1
30872,PPDPSD,381
30872,PPM,1
30872,PS,176
30872,PSN,6
30873,BE,5
30873,CDSPP,112
30873,MPT,0
30873,PCPPEV,63
30873,PCTPMRPP,22
30873,PH,0
30873,POUS,3
30873,PPDPSD,333
30873,PPM,2
30873,PS,480
30873,PSN,6
30901,BE,2
30901,CDSPP,18
30901,MPT,0
30901,PCPPEV,2
30901,PCTPMRPP,0
30901,PH,2
30901,POUS,1
30901,PPDPSD,64
30901,PPM,1
30901,PS,149
30901,PSN,2
30902,BE,0
30902,CDSPP,3
30902,MPT,0
30902,PCPPEV,0
30902,PCTPMRPP,0
30902,PH,0
30902,POUS,0
30902,PPDPSD,41
30902,PPM,0
30902,PS,61
30902,PSN,0
30903,BE,0
30903,CDSPP,13
30903,MPT,2
30903,PCPPEV,2
30903,PCTPMRPP,0
30903,PH,1
30903,POUS,2
30903,PPDPSD,112
30903,PPM,1
30903,PS,67
30903,PSN,2
30904,BE,1
30904,CDSPP,18
30904,MPT,2
30904,PCPPEV,1
30904,PCTPMRPP,0
30904,PH,2
30904,POUS,1
30904,PPDPSD,113
30904,PPM,2
30904,PS,149
30904,PSN,3
30905,BE,3
30905,CDSPP,91
30905,MPT,1
30905,PCPPEV,9
30905,PCTPMRPP,5
30905,PH,3
30905,POUS,0
30905,PPDPSD,150
30905,PPM,1
30905,PS,322
30905,PSN,4
30906,BE,1
30906,CDSPP,11
30906,MPT,0
30906,PCPPEV,11
30906,PCTPMRPP,1
30906,PH,0
30906,POUS,0
30906,PPDPSD,102
30906,PPM,3
30906,PS,105
30906,PSN,2
30907,BE,2
30907,CDSPP,27
30907,MPT,0
30907,PCPPEV,3
30907,PCTPMRPP,0
30907,PH,0
30907,POUS,2
30907,PPDPSD,124
30907,PPM,0
30907,PS,138
30907,PSN,1
30908,BE,0
30908,CDSPP,10
30908,MPT,0
30908,PCPPEV,5
30908,PCTPMRPP,1
30908,PH,0
30908,POUS,0
30908,PPDPSD,83
30908,PPM,1
30908,PS,127
30908,PSN,1
30909,BE,1
30909,CDSPP,69
30909,MPT,2
30909,PCPPEV,10
30909,PCTPMRPP,2
30909,PH,4
30909,POUS,4
30909,PPDPSD,331
30909,PPM,1
30909,PS,224
30909,PSN,8
30910,BE,0
30910,CDSPP,8
30910,MPT,0
30910,PCPPEV,7
30910,PCTPMRPP,1
30910,PH,3
30910,POUS,1
30910,PPDPSD,45
30910,PPM,2
30910,PS,119
30910,PSN,1
30911,BE,1
30911,CDSPP,12
30911,MPT,1
30911,PCPPEV,5
30911,PCTPMRPP,1
30911,PH,0
30911,POUS,0
30911,PPDPSD,100
30911,PPM,0
30911,PS,79
30911,PSN,1
30912,BE,0
30912,CDSPP,28
30912,MPT,0
30912,PCPPEV,6
30912,PCTPMRPP,0
30912,PH,0
30912,POUS,2
30912,PPDPSD,171
30912,PPM,1
30912,PS,134
30912,PSN,2
30913,BE,4
30913,CDSPP,51
30913,MPT,0
30913,PCPPEV,20
30913,PCTPMRPP,1
30913,PH,0
30913,POUS,6
30913,PPDPSD,357
30913,PPM,1
30913,PS,253
30913,PSN,3
30914,BE,2
30914,CDSPP,19
30914,MPT,0
30914,PCPPEV,4
30914,PCTPMRPP,1
30914,PH,1
30914,POUS,0
30914,PPDPSD,167
30914,PPM,1
30914,PS,104
30914,PSN,0
30915,BE,3
30915,CDSPP,35
30915,MPT,0
30915,PCPPEV,3
30915,PCTPMRPP,2
30915,PH,3
30915,POUS,1
30915,PPDPSD,224
30915,PPM,0
30915,PS,128
30915,PSN,1
30916,BE,2
30916,CDSPP,21
30916,MPT,1
30916,PCPPEV,3
30916,PCTPMRPP,1
30916,PH,0
30916,POUS,1
30916,PPDPSD,86
30916,PPM,1
30916,PS,116
30916,PSN,0
30917,BE,1
30917,CDSPP,12
30917,MPT,0
30917,PCPPEV,6
30917,PCTPMRPP,2
30917,PH,0
30917,POUS,1
30917,PPDPSD,232
30917,PPM,0
30917,PS,185
30917,PSN,2
30918,BE,1
30918,CDSPP,6
30918,MPT,0
30918,PCPPEV,1
30918,PCTPMRPP,0
30918,PH,0
30918,POUS,0
30918,PPDPSD,61
30918,PPM,0
30918,PS,90
30918,PSN,1
30919,BE,22
30919,CDSPP,159
30919,MPT,4
30919,PCPPEV,66
30919,PCTPMRPP,5
30919,PH,3
30919,POUS,2
30919,PPDPSD,867
30919,PPM,5
30919,PS,1024
30919,PSN,6
30920,BE,1
30920,CDSPP,24
30920,MPT,0
30920,PCPPEV,1
30920,PCTPMRPP,1
30920,PH,0
30920,POUS,2
30920,PPDPSD,133
30920,PPM,1
30920,PS,119
30920,PSN,2
30921,BE,1
30921,CDSPP,26
30921,MPT,1
30921,PCPPEV,4
30921,PCTPMRPP,1
30921,PH,0
30921,POUS,0
30921,PPDPSD,207
30921,PPM,2
30921,PS,159
30921,PSN,2
30922,BE,1
30922,CDSPP,43
30922,MPT,2
30922,PCPPEV,14
30922,PCTPMRPP,1
30922,PH,3
30922,POUS,1
30922,PPDPSD,179
30922,PPM,1
30922,PS,300
30922,PSN,1
30923,BE,0
30923,CDSPP,13
30923,MPT,1
30923,PCPPEV,4
30923,PCTPMRPP,1
30923,PH,1
30923,POUS,0
30923,PPDPSD,92
30923,PPM,0
30923,PS,135
30923,PSN,3
30924,BE,0
30924,CDSPP,38
30924,MPT,0
30924,PCPPEV,4
30924,PCTPMRPP,4
30924,PH,6
30924,POUS,1
30924,PPDPSD,212
30924,PPM,3
30924,PS,144
30924,PSN,6
30925,BE,1
30925,CDSPP,25
30925,MPT,1
30925,PCPPEV,4
30925,PCTPMRPP,1
30925,PH,1
30925,POUS,6
30925,PPDPSD,330
30925,PPM,6
30925,PS,218
30925,PSN,4
30926,BE,10
30926,CDSPP,61
30926,MPT,4
30926,PCPPEV,14
30926,PCTPMRPP,4
30926,PH,2
30926,POUS,2
30926,PPDPSD,289
30926,PPM,7
30926,PS,455
30926,PSN,5
30927,BE,4
30927,CDSPP,38
30927,MPT,0
30927,PCPPEV,10
30927,PCTPMRPP,0
30927,PH,1
30927,POUS,0
30927,PPDPSD,180
30927,PPM,0
30927,PS,300
30927,PSN,0
30928,BE,2
30928,CDSPP,12
30928,MPT,1
30928,PCPPEV,3
30928,PCTPMRPP,2
30928,PH,0
30928,POUS,0
30928,PPDPSD,83
30928,PPM,1
30928,PS,133
30928,PSN,0
30929,BE,0
30929,CDSPP,29
30929,MPT,0
30929,PCPPEV,5
30929,PCTPMRPP,2
30929,PH,2
30929,POUS,4
30929,PPDPSD,174
30929,PPM,2
30929,PS,155
30929,PSN,1
31001,BE,2
31001,CDSPP,19
31001,MPT,0
31001,PCPPEV,11
31001,PCTPMRPP,1
31001,PH,0
31001,POUS,1
31001,PPDPSD,152
31001,PPM,0
31001,PS,76
31001,PSN,1
31002,BE,0
31002,CDSPP,2
31002,MPT,0
31002,PCPPEV,0
31002,PCTPMRPP,0
31002,PH,0
31002,POUS,0
31002,PPDPSD,34
31002,PPM,0
31002,PS,4
31002,PSN,1
31003,BE,4
31003,CDSPP,3
31003,MPT,1
31003,PCPPEV,10
31003,PCTPMRPP,2
31003,PH,0
31003,POUS,0
31003,PPDPSD,55
31003,PPM,0
31003,PS,74
31003,PSN,0
31004,BE,1
31004,CDSPP,49
31004,MPT,0
31004,PCPPEV,4
31004,PCTPMRPP,3
31004,PH,0
31004,POUS,1
31004,PPDPSD,104
31004,PPM,5
31004,PS,96
31004,PSN,0
31005,BE,0
31005,CDSPP,39
31005,MPT,0
31005,PCPPEV,3
31005,PCTPMRPP,0
31005,PH,0
31005,POUS,2
31005,PPDPSD,127
31005,PPM,0
31005,PS,43
31005,PSN,1
31006,BE,0
31006,CDSPP,17
31006,MPT,1
31006,PCPPEV,1
31006,PCTPMRPP,1
31006,PH,1
31006,POUS,1
31006,PPDPSD,196
31006,PPM,0
31006,PS,106
31006,PSN,7
31007,BE,1
31007,CDSPP,14
31007,MPT,0
31007,PCPPEV,0
31007,PCTPMRPP,0
31007,PH,1
31007,POUS,2
31007,PPDPSD,195
31007,PPM,2
31007,PS,55
31007,PSN,0
31008,BE,0
31008,CDSPP,32
31008,MPT,0
31008,PCPPEV,1
31008,PCTPMRPP,1
31008,PH,0
31008,POUS,1
31008,PPDPSD,132
31008,PPM,5
31008,PS,49
31008,PSN,0
31009,BE,0
31009,CDSPP,12
31009,MPT,0
31009,PCPPEV,1
31009,PCTPMRPP,1
31009,PH,1
31009,POUS,0
31009,PPDPSD,108
31009,PPM,1
31009,PS,74
31009,PSN,3
31010,BE,5
31010,CDSPP,33
31010,MPT,1
31010,PCPPEV,14
31010,PCTPMRPP,1
31010,PH,1
31010,POUS,0
31010,PPDPSD,223
31010,PPM,3
31010,PS,199
31010,PSN,2
31011,BE,1
31011,CDSPP,7
31011,MPT,0
31011,PCPPEV,0
31011,PCTPMRPP,0
31011,PH,1
31011,POUS,1
31011,PPDPSD,75
31011,PPM,1
31011,PS,8
31011,PSN,1
31012,BE,0
31012,CDSPP,10
31012,MPT,1
31012,PCPPEV,2
31012,PCTPMRPP,1
31012,PH,0
31012,POUS,2
31012,PPDPSD,115
31012,PPM,1
31012,PS,33
31012,PSN,1
31013,BE,2
31013,CDSPP,65
31013,MPT,1
31013,PCPPEV,2
31013,PCTPMRPP,3
31013,PH,4
31013,POUS,4
31013,PPDPSD,328
31013,PPM,2
31013,PS,181
31013,PSN,4
31014,BE,3
31014,CDSPP,51
31014,MPT,1
31014,PCPPEV,6
31014,PCTPMRPP,6
31014,PH,0
31014,POUS,0
31014,PPDPSD,149
31014,PPM,3
31014,PS,96
31014,PSN,1
31015,BE,2
31015,CDSPP,38
31015,MPT,3
31015,PCPPEV,39
31015,PCTPMRPP,2
31015,PH,1
31015,POUS,0
31015,PPDPSD,145
31015,PPM,4
31015,PS,192
31015,PSN,3
31016,BE,0
31016,CDSPP,12
31016,MPT,0
31016,PCPPEV,2
31016,PCTPMRPP,0
31016,PH,0
31016,POUS,0
31016,PPDPSD,80
31016,PPM,0
31016,PS,28
31016,PSN,2
31017,BE,5
31017,CDSPP,53
31017,MPT,1
31017,PCPPEV,36
31017,PCTPMRPP,5
31017,PH,5
31017,POUS,2
31017,PPDPSD,315
31017,PPM,7
31017,PS,393
31017,PSN,3
31101,BE,1
31101,CDSPP,14
31101,MPT,0
31101,PCPPEV,6
31101,PCTPMRPP,1
31101,PH,0
31101,POUS,1
31101,PPDPSD,51
31101,PPM,0
31101,PS,105
31101,PSN,3
31102,BE,0
31102,CDSPP,8
31102,MPT,0
31102,PCPPEV,6
31102,PCTPMRPP,0
31102,PH,0
31102,POUS,1
31102,PPDPSD,144
31102,PPM,0
31102,PS,127
31102,PSN,1
31103,BE,0
31103,CDSPP,8
31103,MPT,1
31103,PCPPEV,3
31103,PCTPMRPP,0
31103,PH,0
31103,POUS,0
31103,PPDPSD,94
31103,PPM,1
31103,PS,89
31103,PSN,1
31104,BE,1
31104,CDSPP,21
31104,MPT,1
31104,PCPPEV,4
31104,PCTPMRPP,1
31104,PH,0
31104,POUS,0
31104,PPDPSD,165
31104,PPM,4
31104,PS,87
31104,PSN,2
31105,BE,8
31105,CDSPP,30
31105,MPT,0
31105,PCPPEV,34
31105,PCTPMRPP,11
31105,PH,2
31105,POUS,0
31105,PPDPSD,158
31105,PPM,2
31105,PS,216
31105,PSN,3
31106,BE,1
31106,CDSPP,13
31106,MPT,0
31106,PCPPEV,1
31106,PCTPMRPP,2
31106,PH,0
31106,POUS,2
31106,PPDPSD,83
31106,PPM,2
31106,PS,89
31106,PSN,4
31107,BE,2
31107,CDSPP,23
31107,MPT,3
31107,PCPPEV,21
31107,PCTPMRPP,5
31107,PH,3
31107,POUS,1
31107,PPDPSD,130
31107,PPM,5
31107,PS,196
31107,PSN,2
31108,BE,7
31108,CDSPP,56
31108,MPT,3
31108,PCPPEV,8
31108,PCTPMRPP,0
31108,PH,4
31108,POUS,0
31108,PPDPSD,279
31108,PPM,4
31108,PS,272
31108,PSN,3
31109,BE,3
31109,CDSPP,8
31109,MPT,1
31109,PCPPEV,2
31109,PCTPMRPP,3
31109,PH,1
31109,POUS,2
31109,PPDPSD,126
31109,PPM,0
31109,PS,124
31109,PSN,2
31110,BE,3
31110,CDSPP,39
31110,MPT,1
31110,PCPPEV,12
31110,PCTPMRPP,4
31110,PH,2
31110,POUS,0
31110,PPDPSD,206
31110,PPM,6
31110,PS,243
31110,PSN,3
31111,BE,1
31111,CDSPP,11
31111,MPT,1
31111,PCPPEV,1
31111,PCTPMRPP,1
31111,PH,1
31111,POUS,1
31111,PPDPSD,162
31111,PPM,2
31111,PS,159
31111,PSN,7
31112,BE,3
31112,CDSPP,25
31112,MPT,1
31112,PCPPEV,6
31112,PCTPMRPP,1
31112,PH,0
31112,POUS,0
31112,PPDPSD,105
31112,PPM,1
31112,PS,130
31112,PSN,4
31113,BE,9
31113,CDSPP,39
31113,MPT,2
31113,PCPPEV,23
31113,PCTPMRPP,4
31113,PH,2
31113,POUS,3
31113,PPDPSD,503
31113,PPM,2
31113,PS,507
31113,PSN,7
31114,BE,2
31114,CDSPP,39
31114,MPT,1
31114,PCPPEV,9
31114,PCTPMRPP,2
31114,PH,2
31114,POUS,0
31114,PPDPSD,270
31114,PPM,5
31114,PS,292
31114,PSN,2
31115,BE,2
31115,CDSPP,21
31115,MPT,2
31115,PCPPEV,16
31115,PCTPMRPP,0
31115,PH,1
31115,POUS,1
31115,PPDPSD,106
31115,PPM,1
31115,PS,163
31115,PSN,1
31116,BE,0
31116,CDSPP,17
31116,MPT,0
31116,PCPPEV,1
31116,PCTPMRPP,0
31116,PH,1
31116,POUS,0
31116,PPDPSD,31
31116,PPM,0
31116,PS,35
31116,PSN,1
31117,BE,0
31117,CDSPP,28
31117,MPT,1
31117,PCPPEV,2
31117,PCTPMRPP,1
31117,PH,0
31117,POUS,0
31117,PPDPSD,61
31117,PPM,1
31117,PS,47
31117,PSN,5
31118,BE,3
31118,CDSPP,31
31118,MPT,2
31118,PCPPEV,6
31118,PCTPMRPP,2
31118,PH,2
31118,POUS,1
31118,PPDPSD,202
31118,PPM,1
31118,PS,173
31118,PSN,3
31119,BE,2
31119,CDSPP,34
31119,MPT,1
31119,PCPPEV,3
31119,PCTPMRPP,2
31119,PH,0
31119,POUS,0
31119,PPDPSD,154
31119,PPM,0
31119,PS,96
31119,PSN,2
31120,BE,16
31120,CDSPP,65
31120,MPT,3
31120,PCPPEV,87
31120,PCTPMRPP,10
31120,PH,2
31120,POUS,2
31120,PPDPSD,399
31120,PPM,5
31120,PS,454
31120,PSN,6
31121,BE,0
31121,CDSPP,4
31121,MPT,0
31121,PCPPEV,2
31121,PCTPMRPP,0
31121,PH,1
31121,POUS,1
31121,PPDPSD,106
31121,PPM,1
31121,PS,94
31121,PSN,0
31201,BE,1
31201,CDSPP,13
31201,MPT,1
31201,PCPPEV,16
31201,PCTPMRPP,2
31201,PH,1
31201,POUS,0
31201,PPDPSD,65
31201,PPM,3
31201,PS,91
31201,PSN,1
31202,BE,31
31202,CDSPP,240
31202,MPT,6
31202,PCPPEV,129
31202,PCTPMRPP,29
31202,PH,4
31202,POUS,4
31202,PPDPSD,1138
31202,PPM,7
31202,PS,1173
31202,PSN,4
31203,BE,4
31203,CDSPP,61
31203,MPT,2
31203,PCPPEV,27
31203,PCTPMRPP,9
31203,PH,2
31203,POUS,0
31203,PPDPSD,259
31203,PPM,4
31203,PS,504
31203,PSN,1
31204,BE,23
31204,CDSPP,141
31204,MPT,1
31204,PCPPEV,102
31204,PCTPMRPP,15
31204,PH,1
31204,POUS,4
31204,PPDPSD,698
31204,PPM,5
31204,PS,1072
31204,PSN,1
31205,BE,0
31205,CDSPP,59
31205,MPT,1
31205,PCPPEV,17
31205,PCTPMRPP,4
31205,PH,0
31205,POUS,0
31205,PPDPSD,147
31205,PPM,0
31205,PS,330
31205,PSN,3
31206,BE,18
31206,CDSPP,130
31206,MPT,1
31206,PCPPEV,90
31206,PCTPMRPP,8
31206,PH,0
31206,POUS,2
31206,PPDPSD,408
31206,PPM,2
31206,PS,721
31206,PSN,3
31207,BE,3
31207,CDSPP,78
31207,MPT,2
31207,PCPPEV,17
31207,PCTPMRPP,0
31207,PH,1
31207,POUS,1
31207,PPDPSD,275
31207,PPM,0
31207,PS,289
31207,PSN,3
31208,BE,90
31208,CDSPP,468
31208,MPT,10
31208,PCPPEV,349
31208,PCTPMRPP,31
31208,PH,14
31208,POUS,3
31208,PPDPSD,1718
31208,PPM,18
31208,PS,2566
31208,PSN,5
31209,BE,4
31209,CDSPP,39
31209,MPT,3
31209,PCPPEV,49
31209,PCTPMRPP,9
31209,PH,0
31209,POUS,1
31209,PPDPSD,316
31209,PPM,2
31209,PS,603
31209,PSN,1
31210,BE,7
31210,CDSPP,40
31210,MPT,2
31210,PCPPEV,48
31210,PCTPMRPP,4
31210,PH,4
31210,POUS,3
31210,PPDPSD,317
31210,PPM,3
31210,PS,427
31210,PSN,0
31211,BE,4
31211,CDSPP,71
31211,MPT,0
31211,PCPPEV,15
31211,PCTPMRPP,1
31211,PH,1
31211,POUS,1
31211,PPDPSD,321
31211,PPM,1
31211,PS,422
31211,PSN,1
31212,BE,9
31212,CDSPP,98
31212,MPT,1
31212,PCPPEV,64
31212,PCTPMRPP,3
31212,PH,1
31212,POUS,1
31212,PPDPSD,302
31212,PPM,3
31212,PS,433
31212,PSN,5
31213,BE,28
31213,CDSPP,153
31213,MPT,8
31213,PCPPEV,161
31213,PCTPMRPP,13
31213,PH,6
31213,POUS,2
31213,PPDPSD,501
31213,PPM,5
31213,PS,1184
31213,PSN,4
31214,BE,2
31214,CDSPP,105
31214,MPT,1
31214,PCPPEV,23
31214,PCTPMRPP,5
31214,PH,1
31214,POUS,2
31214,PPDPSD,541
31214,PPM,3
31214,PS,381
31214,PSN,1
31215,BE,9
31215,CDSPP,99
31215,MPT,1
31215,PCPPEV,26
31215,PCTPMRPP,6
31215,PH,1
31215,POUS,4
31215,PPDPSD,733
31215,PPM,3
31215,PS,843
31215,PSN,5
31216,BE,18
31216,CDSPP,213
31216,MPT,7
31216,PCPPEV,111
31216,PCTPMRPP,24
31216,PH,5
31216,POUS,7
31216,PPDPSD,808
31216,PPM,12
31216,PS,1102
31216,PSN,3
31217,BE,5
31217,CDSPP,186
31217,MPT,2
31217,PCPPEV,14
31217,PCTPMRPP,10
31217,PH,4
31217,POUS,3
31217,PPDPSD,459
31217,PPM,2
31217,PS,379
31217,PSN,5
31218,BE,5
31218,CDSPP,60
31218,MPT,0
31218,PCPPEV,25
31218,PCTPMRPP,4
31218,PH,2
31218,POUS,1
31218,PPDPSD,136
31218,PPM,1
31218,PS,156
31218,PSN,0
31219,BE,54
31219,CDSPP,382
31219,MPT,9
31219,PCPPEV,209
31219,PCTPMRPP,18
31219,PH,8
31219,POUS,6
31219,PPDPSD,1525
31219,PPM,11
31219,PS,1693
31219,PSN,9
31220,BE,2
31220,CDSPP,37
31220,MPT,0
31220,PCPPEV,36
31220,PCTPMRPP,6
31220,PH,3
31220,POUS,3
31220,PPDPSD,174
31220,PPM,3
31220,PS,284
31220,PSN,2
31221,BE,8
31221,CDSPP,150
31221,MPT,3
31221,PCPPEV,42
31221,PCTPMRPP,9
31221,PH,2
31221,POUS,1
31221,PPDPSD,454
31221,PPM,1
31221,PS,844
31221,PSN,2
31222,BE,7
31222,CDSPP,70
31222,MPT,2
31222,PCPPEV,24
31222,PCTPMRPP,6
31222,PH,2
31222,POUS,0
31222,PPDPSD,312
31222,PPM,2
31222,PS,402
31222,PSN,5
31223,BE,17
31223,CDSPP,178
31223,MPT,5
31223,PCPPEV,52
31223,PCTPMRPP,3
31223,PH,2
31223,POUS,1
31223,PPDPSD,526
31223,PPM,5
31223,PS,655
31223,PSN,4
31224,BE,23
31224,CDSPP,126
31224,MPT,8
31224,PCPPEV,107
31224,PCTPMRPP,12
31224,PH,2
31224,POUS,3
31224,PPDPSD,554
31224,PPM,5
31224,PS,1180
31224,PSN,8
31225,BE,10
31225,CDSPP,61
31225,MPT,1
31225,PCPPEV,47
31225,PCTPMRPP,6
31225,PH,3
31225,POUS,2
31225,PPDPSD,352
31225,PPM,0
31225,PS,494
31225,PSN,1
31226,BE,8
31226,CDSPP,72
31226,MPT,2
31226,PCPPEV,15
31226,PCTPMRPP,2
31226,PH,1
31226,POUS,3
31226,PPDPSD,474
31226,PPM,2
31226,PS,289
31226,PSN,0
31227,BE,1
31227,CDSPP,0
31227,MPT,0
31227,PCPPEV,0
31227,PCTPMRPP,0
31227,PH,0
31227,POUS,0
31227,PPDPSD,0
31227,PPM,0
31227,PS,4
31227,PSN,0
31228,BE,3
31228,CDSPP,27
31228,MPT,1
31228,PCPPEV,36
31228,PCTPMRPP,5
31228,PH,0
31228,POUS,1
31228,PPDPSD,101
31228,PPM,0
31228,PS,320
31228,PSN,0
31229,BE,1
31229,CDSPP,26
31229,MPT,1
31229,PCPPEV,28
31229,PCTPMRPP,3
31229,PH,0
31229,POUS,0
31229,PPDPSD,199
31229,PPM,1
31229,PS,181
31229,PSN,0
31230,BE,7
31230,CDSPP,71
31230,MPT,3
31230,PCPPEV,101
31230,PCTPMRPP,20
31230,PH,1
31230,POUS,3
31230,PPDPSD,308
31230,PPM,3
31230,PS,657
31230,PSN,5
31231,BE,3
31231,CDSPP,22
31231,MPT,1
31231,PCPPEV,9
31231,PCTPMRPP,5
31231,PH,3
31231,POUS,1
31231,PPDPSD,163
31231,PPM,2
31231,PS,156
31231,PSN,1
31232,BE,17
31232,CDSPP,94
31232,MPT,2
31232,PCPPEV,72
31232,PCTPMRPP,14
31232,PH,2
31232,POUS,2
31232,PPDPSD,370
31232,PPM,1
31232,PS,663
31232,PSN,2
31233,BE,13
31233,CDSPP,93
31233,MPT,2
31233,PCPPEV,87
31233,PCTPMRPP,15
31233,PH,1
31233,POUS,3
31233,PPDPSD,729
31233,PPM,7
31233,PS,651
31233,PSN,8
31234,BE,37
31234,CDSPP,107
31234,MPT,2
31234,PCPPEV,366
31234,PCTPMRPP,28
31234,PH,2
