CODIGO,NOME,REGIAO
1,Aveiro,C
2,Beja,C
3,Braga,C
4,Bragança,C
5,"Castelo Branco",C
6,Coimbra,C
7,Évora,C
8,Faro,C
9,Guarda,C
10,Leiria,C
11,Lisboa,C
12,Portalegre,C
13,Porto,C
14,Santarém,C
15,Setúbal,C
16,"Viana do Castelo",C
17,"Vila Real",C
18,Viseu,C
30,Madeira,M
40,Açores,A
41,AZORES,H
